Month,America Tropical Interpretive Center,Avila Adobe,Chinese American Museum,Firehouse Museum
14-Jan,6602,24778,1581,4486
14-Feb,5029,18976,1785,4172
14-Mar,8129,25231,3229,7082
14-Apr,2824,26989,2129,6756
14-May,10694,36883,3676,10858
14-Jun,11036,29487,2121,5751
14-Jul,13490,32378,2239,5406
14-Aug,9139,37680,1769,8619
14-Sep,5661,28473,1073,61192
14-Oct,7356,27995,1979,6488
14-Nov,9773,25691,2404,4189
14-Dec,7184,18754,1319,4339
15-Jan,6250,20438,1823,3858
15-Feb,5907,15578,1558,3742
15-Mar,9884,21297,2336,5390
15-Apr,7254,26670,3057,7000
15-May,13207,34383,4009,12528
15-Jun,11102,30569,2544,5377
15-Jul,11072,41242,3057,6111
15-Aug,12096,30700,2415,5383
15-Sep,6608,20967,1398,5746
15-Oct,12524,29764,2237,8882
15-Nov,6677,24483,2850,6848
15-Dec,5967,21426,2075,4502
16-Jan,6587,19659,2150,4377
16-Feb,6955,17378,2547,3675
16-Mar,9979,20322,7702,6334
16-Apr,5113,24521,3485,6509
16-May,7757,31728,4565,9315
16-Jun,6751,23696,3034,4918
16-Jul,12188,31689,2776,5602
16-Aug,6245,25987,2153,5181
16-Sep,6977,22897,1754,4736
16-Oct,6282,25040,2607,6145
16-Nov,6365,17760,2248,3930
16-Dec,5223,20107,2263,3911
17-Jan,4929,18792,2531,3551
17-Feb,4493,14035,2139,3491
17-Mar,6271,20680,5966,5273
17-Apr,6685,25234,3273,5320
17-May,7556,30029,5585,8733
17-Jun,6818,22169,2946,4862
17-Jul,8675,30831,2939,5242
17-Aug,6212,27009,1784,5379
17-Sep,4607,23403,1704,4484
17-Oct,6097,22164,2419,4822
17-Nov,6757,17629,2685,4613
17-Dec,6780,18339,2768,4448
18-Jan,5837,16265,2477,3910
18-Feb,5705,14718,2710,3306
18-Mar,4909,19001,4529,5225
18-Apr,4650,18966,2750,4535
18-May,5626,25173,4960,8013
18-Jun,4694,22171,2518,4635
18-Jul,4718,23136,2620,4191
18-Aug,3891,20815,2409,4866
18-Sep,3180,21020,2146,4956
18-Oct,3775,19280,2364,4622
18-Nov,4562,17163,2385,4082
18-Dec,4081,17722,2078,4253
19-Jan,3424,13958,2330,3608
19-Feb,2907,10737,2371,2900
19-Mar,4384,17056,3804,5045
19-Apr,4830,21074,3484,5204
19-May,6230,26041,4570,8202
19-Jun,3995,20226,2853,4787
19-Jul,4491,24097,2271,4432
19-Aug,3410,20921,2017,4460
19-Sep,3229,17689,1458,4293
19-Oct,4200,18822,1987,4035
19-Nov,4362,15507,2808,4385
19-Dec,2702,15398,2388,3566
